,Mes,Número Banheiros,Número Camas,Número Comentários,Número Hóspedes,Taxa,Semana_do_ano,Jacuzzi,Academia,Secadora,Localização,Piscina,Permitido animais,Preço/Noite
933,3,1,1,3,2,50.0,9,0,0,0,0.0011879306248515089,0,0,167.0
934,2,1,3,3,6,50.0,8,0,0,0,0.011879306248515086,0,1,271.0
935,3,1,2,35,4,64.5,11,0,0,0,0.08885721073889286,0,0,356.0
936,2,2,1,46,4,70.0,6,0,0,0,0.00688999762413875,0,0,295.0
937,3,2,1,41,2,75.0,9,0,0,0,0.04276550249465432,0,1,130.0
938,3,1,1,3,2,75.0,11,0,0,0,0.0030886196246139226,1,0,166.0
939,3,3,7,25,6,60.0,12,0,0,0,0.03183654074602043,0,0,248.0
940,2,1,1,20,6,54.5,6,0,0,0,0.015443098123069612,0,1,328.0
941,2,2,5,18,6,99.5,6,0,0,0,0.0076027559990496565,0,0,414.0
942,2,1,1,25,2,99.5,8,0,1,0,0.05203136136849608,1,0,189.0
943,3,1,4,45,5,49.5,9,0,0,0,0.0011879306248515089,0,1,310.0
944,2,1,1,30,3,37.5,8,0,0,0,0.00688999762413875,1,0,158.0
945,2,0,8,6,5,60.0,7,0,0,0,0.007840342124019958,0,0,214.0
946,4,1,3,64,3,40.0,15,0,0,0,0.02257068187217866,0,0,211.0
947,3,1,1,46,2,40.0,9,0,0,0,0.012116892373485387,1,0,206.0
948,4,1,4,25,5,40.0,17,0,0,0,0.029698265621287717,0,1,165.0
949,2,1,3,6,6,40.0,7,0,0,0,0.02946067949631741,0,0,317.0
950,3,1,2,144,4,40.0,12,0,0,0,0.04276550249465432,1,0,320.0
951,3,4,16,27,16,129.5,9,0,0,0,0.00974103112378237,1,0,578.0
952,1,2,5,49,6,90.0,4,0,0,0,0.08885721073889286,0,0,452.0
953,2,2,4,13,5,90.0,8,0,0,0,0.0040389641244951285,0,1,263.0
954,3,1,2,62,6,75.0,11,0,0,0,0.015443098123069612,0,1,136.0
955,3,2,3,106,6,85.0,10,0,0,0,0.029698265621287717,0,0,206.0
956,3,1,3,269,4,0.0,11,0,0,0,0.01235447849845569,0,0,123.0
957,4,1,1,104,4,24.5,15,0,0,0,0.02066999287241625,0,0,164.0
958,3,1,2,17,4,24.5,12,0,0,0,0.0011879306248515089,1,0,272.0
959,2,1,3,53,4,40.0,7,0,0,0,0.0137799952482775,0,0,188.0
960,4,1,4,5,5,0.0,16,0,0,0,0.0047517224994060355,0,0,160.0
961,3,1,2,9,4,49.5,11,0,0,0,0.00047517224994060353,0,1,133.0
962,3,2,3,10,6,59.5,12,0,1,0,0.0035637918745545258,0,0,357.0
963,3,4,16,27,16,129.5,11,1,0,0,0.00974103112378237,0,0,578.0
964,4,1,3,128,4,20.0,16,0,0,0,0.029698265621287717,0,0,174.0
